insee,no_court,changements,date_notification,id_CAAU,a_compter_du,id_CAAU_old,jusqu_au
version=1.537,chrono=4336041454,dept=42,nb_communes=327,nb_CAAU=19,nb_chgts_pdaa=0,nb_chgts_caau=0,
42015,112,0,01/01/2000,FR420SDIC,,,
42015,115,0,01/01/2000,FR420C115,,,
42015,191,0,01/01/2000,FR690C191,,,
42015,196,0,01/01/2000,FR620C196,,,
42015,114,0,01/01/2000,FR380C114,,,
42015,119,0,01/01/2000,FR750C119,,,
42015,116000,0,01/01/2000,FR940C116,,,
42015,197,0,01/01/2000,FR920C197,,,
42015,116117,0,01/01/2000,FR420PDSB,,,
42015,1121,0,01/01/2000,FR790SNSA,,,
42015,1122,0,01/01/2000,FR790SNSB,,,
42015,116111,0,01/01/2000,FR750GPED,,,
42016,15,0,01/01/2000,FR420SAMB,,,
42016,17,0,01/01/2000,FR420PNAB,,,
42016,18,0,01/01/2000,FR420SDIB,,,
42016,112,0,01/01/2000,FR420SDIC,,,
42016,115,0,01/01/2000,FR420C115,,,
42016,191,0,01/01/2000,FR690C191,,,
42016,196,0,01/01/2000,FR620C196,,,
42016,114,0,01/01/2000,FR380C114,,,
42016,119,0,01/01/2000,FR750C119,,,
42016,116000,0,01/01/2000,FR940C116,,,
42016,197,0,01/01/2000,FR920C197,,,
42016,116117,0,01/01/2000,FR420PDSB,,,
42016,1121,0,01/01/2000,FR790SNSA,,,
42016,1122,0,01/01/2000,FR790SNSB,,,
42016,116111,0,01/01/2000,FR750GPED,,,
42017,15,0,01/01/2000,FR420SAMA,,,
42017,17,0,01/01/2000,FR420PNAB,,,
42017,18,0,01/01/2000,FR420SDIA,,,
42017,112,0,01/01/2000,FR420SDIC,,,
42017,115,0,01/01/2000,FR420C115,,,
42017,191,0,01/01/2000,FR690C191,,,
42017,196,0,01/01/2000,FR620C196,,,
42017,114,0,01/01/2000,FR380C114,,,
42017,119,0,01/01/2000,FR750C119,,,
42017,116000,0,01/01/2000,FR940C116,,,
42017,197,0,01/01/2000,FR920C197,,,
